# Grid R0: 0.1, R1: 1000, N: 1000, spacing: natural
# SimpleStar M: 1Msun, R: 1Rsun, T: 5770K, age: 959999.9999999957yr
# SimpleDiscEOS gamma: 1.0, mu: 2.33, alpha: 0.001, mu: 2.33, K0= 0.01
# DustGrowthTwoPop feedback: True, rho_s: 1.0g cm^-3, uf_0: 100.0cm s^-1, uf_ice: 1000.0cm s^-1, thresh: 0.1, f_grow: 1.0, a0: 1e-05cm
# ViscousEvolutionFV tol: 0.5
# SingleFluidDrift diffusion: False settling: False van-leer: False
# Bitsch2015Model pb_gas_f: 0.1, migrate: True
# GasAccretionf_max: 0.8, f_py: 0.2, kappa_env: 0.05 cm^2 g^-1, rho_core: 5.5 g cm^-1
# PebbleAccretionHill
# CridaMigration 
#	 TypeIMigration gamma: 1.4
#	 TypeIIMigration
# time: 960000.0yr
# R Sigma T epsilon[0] epsilon[1] a[0] a[1] Mdot MdotSS
572.9808720249999 4.827541142268021e-05 9.863503565310143 6.231752712925713e-11 2.014933377179312e-09 1e-05 1e-05 -8.51599E-13 1.75029E-13
574.4806230250001 4.6870003130221136e-05 9.852459665569983 6.236112276547799e-11 2.0163429694171196e-09 1e-05 1e-05 -8.31345E-13 1.70411E-13
575.982334225 4.550417048496296e-05 9.841442522919436 6.242501070629971e-11 2.0184086795036885e-09 1e-05 1e-05 -8.11543E-13 1.65908E-13
577.486005625 4.4176839030957706e-05 9.830452037754746 6.251023831991375e-11 2.021164372343876e-09 1e-05 1e-05 -7.92183E-13 1.61519E-13
578.9916372249999 4.2886962324787256e-05 9.819488110972046 6.261791705280576e-11 2.0246459847073843e-09 1e-05 1e-05 -7.73256E-13 1.57241E-13
580.499229025 4.1633521237742854e-05 9.808550643964212 6.274922626332563e-11 2.02889164918086e-09 1e-05 1e-05 -7.54754E-13 1.53071E-13
582.008781025 4.041552327450779e-05 9.797639538617737 6.290541729277134e-11 2.0339418257996048e-09 1e-05 1e-05 -7.36668E-13 1.49007E-13
583.520293225 3.923200190797374e-05 9.786754697309611 6.308781778888175e-11 2.039839441840508e-09 1e-05 1e-05 -7.18988E-13 1.45046E-13
585.033765625 3.808201592983429e-05 9.775896022904245 6.329783629742963e-11 2.046630040283556e-09 1e-05 1e-05 -7.01707E-13 1.41186E-13
586.5491982249999 3.696464881659956e-05 9.765063418750412 6.353696713871743e-11 2.0543619374851955e-09 1e-05 1e-05 -6.84816E-13 1.37424E-13
588.066591025 3.587900811069061e-05 9.754256788678203 6.380679558684644e-11 2.0630863906413665e-09 1e-05 1e-05 -6.68307E-13 1.33757E-13
589.585944025 3.482422481627415e-05 9.743476036996016 6.410900337072512e-11 2.0728577756534437e-09 1e-05 1e-05 -6.52172E-13 1.30185E-13
591.1072572250001 3.379945280950597e-05 9.732721068487564 6.444537451692692e-11 2.083733776047302e-09 1e-05 1e-05 -6.36404E-13 1.26703E-13
592.630530625 3.2803868262862444e-05 9.721991788408909 6.481780155609333e-11 2.095775583647016e-09 1e-05 1e-05 -6.20993E-13 1.23311E-13
594.155764225 3.1836669083239074e-05 9.71128810248551 6.522829211547711e-11 2.109048111733758e-09 1e-05 1e-05 -6.05934E-13 1.20005E-13
595.6829580249998 3.089707436350951e-05 9.700609916909295 6.567897592213757e-11 2.123620221482446e-09 1e-05 1e-05 -5.91218E-13 1.16784E-13
597.212112025 2.9984323847238278e-05 9.689957138335775 6.617211224260972e-11 2.1395649625110455e-09 1e-05 1e-05 -5.76839E-13 1.13646E-13
598.743226225 2.9097677406252253e-05 9.679329673881137 6.671009778653643e-11 2.1569598284313424e-09 1e-05 1e-05 -5.62788E-13 1.10588E-13
600.276300625 2.8236414530776704e-05 9.668727431119411 6.729547510365751e-11 2.175887028351591e-09 1e-05 1e-05 -5.49060E-13 1.07609E-13
601.811335225 2.739983383185456e-05 9.658150318079617 6.793094150526766e-11 2.196433775336986e-09 1e-05 1e-05 -5.35647E-13 1.04707E-13
603.3483300249999 2.65872525557662e-05 9.647598243242943 6.861935854330914e-11 2.218692592900327e-09 1e-05 1e-05 -5.22542E-13 1.01880E-13
604.887285025 2.579800611017944e-05 9.637071115539964 6.936376208256266e-11 2.2427616406695242e-09 1e-05 1e-05 -5.09740E-13 9.91258E-14
606.428200225 2.5031447601761466e-05 9.626568844347858 7.016737300331621e-11 2.2687450604405555e-09 1e-05 1e-05 -4.97232E-13 9.64429E-14
607.971075625 2.428694738498989e-05 9.616091339487658 7.103360857468309e-11 2.296753343914751e-09 1e-05 1e-05 -4.85014E-13 9.38295E-14
609.515911225 2.356389262190948e-05 9.605638511221503 7.19660945411078e-11 2.326903723495817e-09 1e-05 1e-05 -4.73079E-13 9.12840E-14
611.0627070249999 2.28616868525811e-05 9.595210270249943 7.296867796733921e-11 2.359320587610632e-09 1e-05 1e-05 -4.61421E-13 8.88045E-14
612.6114630249998 2.2179749575980006e-05 9.584806527709233 7.404544089021695e-11 2.3941359221170126e-09 1e-05 1e-05 -4.50033E-13 8.63896E-14
614.1621792249999 2.1517515841101988e-05 9.574427195168663 7.520071482855971e-11 2.4314897794567616e-09 1e-05 1e-05 -4.38911E-13 8.40375E-14
615.714855625 2.0874435848043458e-05 9.564072184627907 7.643909620587378e-11 2.47153077732325e-09 1e-05 1e-05 -4.28047E-13 8.17468E-14
